comuna,municipio,edad,sexo,máximo_nivel_educativo_alcanzado,grupo_poblacional,tipo_de_contrato,profesión_u_ocupación,salario,cargo_solicitado,nivel_del_cargo,No_días_del_registro_hasta_contratación,No_días_de_la_postulación_hasta_contratación,No_días_del_empleador_en_cubrir_vacante
7,medellin,31,femenino,técnico,ninguno,termino fijo,secretaria,689454,secretaria,administrativo,438,5,6.0
12,medellin,24,femenino,técnico,ninguno,obra o labor,técnico,689454,asesor móvil,comercial,463,4,32.0
7,medellin,30,masculino,técnico,ninguno,obra o labor,técnico,689454,asesor móvil,comercial,615,4,32.0
16,medellin,29,masculino,técnico,ninguno,obra o labor,técnico,689454,asesor móvil,comercial,629,4,32.0
7,medellin,19,femenino,secundaria,ninguno,obra o labor,bachiller,689454,asesor tropas,comercial,26,4,32.0
80,medellin,33,masculino,secundaria,ninguno,obra o labor,bachiller,689454,asesor tropas,comercial,11,4,32.0
11,medellin,21,masculino,secundaria,ninguno,obra o labor,bachiller,689454,asesor tropas,comercial,6,4,32.0
70,medellin,21,masculino,secundaria,ninguno,obra o labor,técnico,689454,asesor tropas,comercial,453,4,32.0
6,medellin,36,masculino,secundaria,ninguno,obra o labor,domiciliario,689455,domiciliario con moto,operativo,5,4,8.0
16,medellin,27,femenino,tecnológico,ninguno,obra o labor,tecnológico,689454,asesor tropas,comercial,271,6,39.0
99,bello,28,femenino,tecnológico,ninguno,obra o labor,tecnológico,689454,asesor tropas,comercial,218,6,39.0
80,medellin,29,masculino,tecnológico,ninguno,obra o labor,tecnológico,689454,asesor tropas,comercial,47,6,39.0
5,medellin,26,masculino,técnico,ninguno,obra o labor,técnico,689454,asesor tropas,comercial,22,6,39.0
13,medellin,38,masculino,secundaria,ninguno,obra o labor,bachiller,689454,asesor tropas,comercial,22,6,39.0
7,medellin,25,femenino,profesional,ninguno,obra o labor,profesional,689454,asesor tropas,comercial,14,6,39.0
4,medellin,35,masculino,técnico,ninguno,obra o labor,técnico,689454,asesor tropas,comercial,13,6,39.0
6,medellin,22,masculino,secundaria,ninguno,obra o labor,bachiller,689454,asesor tropas,comercial,11,6,39.0
6,medellin,29,masculino,profesional,ninguno,obra o labor,profesional,689454,asesor tropas,comercial,8,6,39.0
16,medellin,36,masculino,tecnológico,ninguno,termino indefinido,tecnológico,890000,asesor de servicio de soporte técnico,técnico,371,6,36.0
5,medellin,27,femenino,técnico,ninguno,termino indefinido,técnico,890000,asesor de servicio de soporte técnico,técnico,1068,6,36.0
3,medellin,23,masculino,secundaria,ninguno,obra o labor,ayudante de estructura,689455,ayudante estructura,operativo,609,53,55.0
13,medellin,35,femenino,técnico,ninguno,termino fijo,auxiliar de cocina,700000,auxiliar de cocina,operativo,553,10,23.0
60,medellin,29,femenino,profesional,ninguno,termino fijo,administradora financiera,1960000,jefe de compras,administrativo,232,20,23.0
16,medellin,30,femenino,técnico,ninguno,termino fijo,técnica en admon. empresas,1123059,auxiliar auditoría salud,técnico,26,20,30.0
70,medellin,20,masculino,profesional,ninguno,termino fijo,ingeniero mecanico,900000,técnico en refrigeración,técnico,27,5,12.0
4,medellin,22,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,27,14,47.0
60,medellin,27,femenino,tecnológico,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,26,14,47.0
13,medellin,31,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,312,14,47.0
1,medellin,40,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,594,14,47.0
60,medellin,40,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,560,14,47.0
13,medellin,39,femenino,primaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,39,14,47.0
7,medellin,41,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,40,14,47.0
10,medellin,31,masculino,primaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,28,14,47.0
7,medellin,26,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,32,14,47.0
10,medellin,46,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,40,14,47.0
60,medellin,27,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,54,14,47.0
4,medellin,21,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,193,14,47.0
3,medellin,32,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,34,14,47.0
3,medellin,22,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,83,14,47.0
2,medellin,30,masculino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,28,14,47.0
4,medellin,27,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,27,14,47.0
4,medellin,21,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,43,14,47.0
4,medellin,34,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,32,14,47.0
1,medellin,34,femenino,técnico,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,27,14,47.0
2,medellin,22,femenino,técnico,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,35,14,47.0
8,medellin,37,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,35,14,47.0
1,medellin,23,femenino,secundaria,ninguno,termino fijo,secundaria,703000,operario agrícola,operativo,34,14,47.0
8,medellin,37,femenino,técnico,afrodescendientes,termino indefinido,operaria de confeccion,750000,operaria de confeccion,operativo,22,7,9.0
4,medellin,27,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,64,14,21.0
4,medellin,37,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,85,14,21.0
4,medellin,56,masculino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,37,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,41,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
4,medellin,24,masculino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,21,14,21.0
4,medellin,25,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,21,14,21.0
4,medellin,36,femenino,secundaria,ninguno,termino fijo,jardinero,840000,jardinero,operativo,62,14,21.0
